Title,Company,Location,Type,Level,YearsExp,Country,Skills
Web Developer,Pillars, Hadayek Alahram,Full Time,Experienced,3+ Yrs of Exp,Giza,"HTML/CSS, Information Technology (IT), Computer Science, Quality, Web Development, PHP, ASP.NET, IT/Software Development"
Outdoor Sales Representative - Gharbia,Penguin, Gharbia,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Sales Skills, Outdoor Sales, Sales Target, Home Appliances, Excel, Communication Skills, Sales/Retail"
Outdoor Sales Representative - Sharqia,Penguin, Sharqia,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Sales Skills, Outdoor Sales, Sales Target, Home Appliances, Excel, Communication Skills, Sales/Retail"
Senior MS Exchange Engineer,"Roaya IT Solutions,", Maadi,Full Time,Experienced,7+ Yrs of Exp,Cairo,"SCOM, Software Development, ITIL, PMP, MCSE, VMWare, Linux, Information Technology (IT), Computer Science, Computer Skills"
Export Documentation Coordinator,Confidential, Alexandria,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Documentation, Logistics, Supply Chain, Shipping, Orders, English, Logistics/Supply Chain"
Senior Full Stack Developer (.NET),DEVOPSolution, Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,".NET Development, Computer Science, Computer Engineering, Information Technology (IT), C#, MVC, ASP.NET, Angular, Typescript, HTML5"
Mechanical Engineer,Tiger Marine, Badr City,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Mechanical Engineering, Maintenance, Electrical Engineering, Technical Drawings, Installation/Maintenance/Repair"
Web Chat Customer Service Agent,The Hair Addict, New Cairo,Full Time,Work From Home,1+ Yrs of Exp,Cairo,"Customer Support, Typing, Customer Service, Web Chat, Customer Service/Support"
Corporate Sales Manager (Insurance),Egyptian Life Takaful, Cairo,Full Time,Manager,9-12 Yrs of Exp,Egypt,"Corporate Sales, Sales Target, English, Commerce, Business, Economics, Microsoft Office, Insurance, Sales/Retail"
Sales Representative,Apexos Group, Sheraton,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Customer Service, F&B, B2B, Sales Skills, Sales Target, Customer Service/Support, Sales/Retail"
Fashion Designer,Egyptian Company for Trading Industry and International Agents, Haram,Full Time,Experienced,3+ Yrs of Exp,Giza,"Fashion, Design, Audaces, Patterns, Creative/Design/Art, Fashion"
Java Backend Developer,Entrepreware, Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"GIT, Java, CSS3, MYSQL, Hibernate, Backend, Software Engineering, Computer Science, Information Technology (IT), Software Development"
Admissions Officer,El Sewedy Education, Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Higher, Education, Administration, Microsoft Office, Office Management, Communication Skills, Administration, Other"
UI/UX Designer,Confidential, Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"UI, UX, Web Design, Adobe Photoshop, HTML5, CSS3, Javascript, Adobe Illustrator, InVision, Sketch, UXPin, Flinto, Prototypes"
"Procurement Manager, META",Acino Pharma Egypt, New Cairo,Full Time,Manager,10+ Yrs of Exp,Cairo,"Purchasing, Supply Chain, Microsoft Office, Logistics/Supply Chain, Purchasing/Procurement"
Warehouse Supervisor (Chemicals) - (مشرف مخازن...,EVA Cosmetics, 6th of October,Full Time,Experienced,3+ Yrs of Exp,Giza,"Logistics, Supply Chain, Store Management, Science, Agriculture, Commerce, R&D/Science, Logistics/Supply Chain"
Senior Financial Controller - Alexandria,Prometeon Pirelli Tyres ( Ex-Pirelli ), Ameria,Full Time,Experienced,4-8 Yrs of Exp,Alexandria,"SAP, Finance, Accounting, Financial Analysis, Cost Control, CMA, Commerce, Financial Management, Accounting/Finance"
Senior UI Developer,Fawry Banking & Payment Technology Services, 6th of October,Full Time,Experienced,4-6 Yrs of Exp,Giza,"Bootstrap, javaScript, jQuery, CSS3, HTML5, Information Technology (IT), Computer Science, Computer Engineering, Software Development"
Technical Sales Account Manager - Software,Confidential, Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Business Development, Information Technology (IT), Lead Generation, Forcasting, Sales Target, Customer Service, Account Management"
Marketing Internship - Smart Village Cairo,Prometeon Pirelli Tyres ( Ex-Pirelli ), Smart Village,Internship,Entry Level,0-1 Yrs of Exp,Giza,"Online Marketing, Advertising, Digital Marketing, Social Media, Business Development, Marketing/PR/Advertising, Analyst/Research"
Telesales Executive,4level1, Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Startup, Telesales, Online Support, Sales Skills, Customer Service, Sales Target, Customer Service/Support, Sales/Retail"
Accountant,RO creative studio, Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Finance, Microsoft Office, Financial Analysis, Computer Skills, English, Accounting/Finance"
Business Developer,HPA (Highly Professional Advisors), New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Target, English, Corporate Sales, B2B, Education, E-learning, Learning Software, Business Administration, Business Development"
Senior Business Analyst,Titan Cement Egypt, Sheraton,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Economics, Computer Science, SAP BO Suite, Power BI, ERP, English, Arabic, Information Technology (IT), Communication Skills"
Social Media Specialist,RO creative studio, Nasr City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Social Media, E-marketing, Writing, Content Creation, Writing/Editorial, Marketing/PR/Advertising, Media/Journalism/Publishing"
Graphic Designer,RO creative studio, Nasr City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Graphic Design, Adobe Photoshop, Adobe Illustrator, Marketing, Branding, After Effects, Creative/Design/Art"
Graphic Design Instructor,Mishkat Nour, Port Said,Part Time,Experienced,4-7 Yrs of Exp,Egypt,"Adobe Illustrator, Adobe Photoshop, Instructor, Adobe Premiere, Teaching, Creative/Design/Art, Training/Instructor"
Outdoor Sales Representative,Penguin, Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Sales Skills, Outdoor Sales, Sales Target, English, Home Appliances, Excel, Sales/Retail"
Sales Executive - Trucking Industry,Confidential, Giza,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Logistics, Lead Generation, Transportation, Trucks, B2B, Sales Skills, Sales Target, Business Development, Logistics/Supply Chain"
Senior Property Consultant,Makanak, New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Females Only, Sales Team, Sales Target, Sales Skills, Communication Skills, Presentation Skills, Management, Training, English"
Electrical Procurement Engineer,Samman Engineering & Consulting, Dokki,Full Time,Experienced,5-8 Yrs of Exp,Giza,"Procurement, Electrical Engineering, Logistics, Supply Chain, Logistics/Supply Chain, Purchasing/Procurement"
Senior Vendor Manager,Teqneyat, Mohandessin,Full Time,Experienced,3+ Yrs of Exp,Giza,"Vendor Manager, Vendor Management, Translation, English, Human Resources, Project/Program Management"
Senior QA Engineer,Wadi Degla Group, Maadi,Full Time,Experienced,6-8 Yrs of Exp,Cairo,"Quality Assurance, Architectural Engineering, Engineering - Construction/Civil/Architecture, Quality"
Social Media Specialist - Real Estate,Confidential, Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Social Media, Digital Marketing, E-marketing, Advertising, Social Networking, Sales Skills, Customer Service, Real Estate Sales"
Fashion Buyer - Denim,Confidential, Giza,Full Time,Experienced,5-7 Yrs of Exp,Egypt,"Merchandising, Design, Denim, Fashion, Purchasing/Procurement"
Front End Developer,Simple Touch Software, Cairo,Full Time,Work From Home,3-5 Yrs of Exp,Egypt,"Front End Developer, HTML5, jQuery, JavaScript, CSS3, AngularJs, user experience, Computer Science, Information Technology (IT)"
Android & iOS Flutter Developer,Confidential, Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Information Technology (IT), Software Development, Android Design, Computer Science, GIT, Offline Storage, UI, Android SDK, flutter"
Competitive Intelligence Officer,Misr Elkheir Foundation, Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Analysis, Project Management, Planning, Accounting/Finance, Business Development, Analyst/Research"
IT Help Desk Specialist,Raya Contact Center, Smart Village,Full Time,Shift Based,0-2 Yrs of Exp,Giza,"5 Vacancies, Information Technology (IT), Help Desk, IT, Computer Science, Technical, Installation, Telecom, Computer Engineering"
Business Analysis Officer,Misr Elkheir Foundation, Mokattam,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Excel, Finance, Accounting/Finance, Business Development, Analyst/Research"
Office Manager/Accountant,Apexos Group, Sheraton,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Finance, Financial Management, Financial Analysis, Excel, HR, Administration, F&B, Accounting/Finance, Administration"
Quran Teacher,Mishkat Nour, Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,"Education, Teaching, International School, Quran, Education/Teaching"
Quality & Innovation Director,Apexos Group, Sheraton,Full Time,Experienced,2-9 Yrs of Exp,Cairo,"Quality, Business Development, Photoshop, Illustrator, F&B, Business Development, Quality"
Lab Analyst,scitra, 6th of October,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Science, Quality Control, Pharmacy, Lab Analyst, GED, RPM, FG, COAs, FMCG, Cosmetics, R&D/Science, Analyst/Research"
Math Teacher,Mishkat Nour, Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,"Education, Teaching, International School, English, Teacher, Mathematics, Education/Teaching"
Art Teacher,Mishkat Nour, Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,"Education, Teaching, International School, English, Art, Creative, Creative/Design/Art, Education/Teaching"
Digital Marketing Executive,Confidential, Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Digital Marketing, Social Media, SEO, Facebook, Photoshop, Campaigns, Brokerage, Real estate, Communication, Creative, Management"
Admin Assistant,Abdelkader Clinic, Sheikh Zayed,Full Time,Experienced,3+ Yrs of Exp,Giza,"Customer Service, Customer Care, Customer Support, Office Management, Secretary, Microsoft Office, Medical, Clinic Management"
Science Teacher,Mishkat Nour, Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,"Education, Teaching, International School, English, Science, Education/Teaching"
Sales Supervisor Home Appliances - Zagazig,Confidential, Zagazig,Full Time,Manager,6+ Yrs of Exp,Sharqia,"Males Only, Sales Management, Sales Plan, Sales Target, Sales Skills, Sales Home Appliances, Communication Skills, Home Appliances Sales"
Senior Internal Auditor,Misr Elkheir Foundation, Mokattam,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Accounting, Finance, Auditing, Accounting/Finance, Banking"
Sr. Lighting Sales Engineer,Elsewedy industries, New Cairo,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"Sales Skills, Engineering, Electrical, Lighting Products, Sales/Retail, Engineering - Mechanical/Electrical"
Senior Web Developer,Glamera, Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Web Development, Computer Science, Computer Engineering, Information Technology (IT), HTML5, CSS3, ASP.NET MVC, Restful Web API"
CRM Officer,Gila Electric, Downtown,Full Time,Experienced,2+ Yrs of Exp,Cairo,"CRM, Call Center, Customer Service, Customer Care, Customer Support, Communication Skills, Analysis, Presentation Skills, Odoo"
Sales Admin (Telesales),Location Real Estate, Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Realestate, Resale, Cold Calls, Brokerage Real Estate, Property, Administration, Telesales, Customer Service, Administration"
Operations Specialist / Sales Admin (Brokerage...,Location Real Estate, New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Females Only, Skills, CRM, Resale, Brokerage Real Estate, Microsoft Excel, Sales Admin, Administration, Operations/Management"
Resale Property Consultant,Location Real Estate, New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Males Preferred, Real Estate, Resale, Brokerage, Sales Skills, Property Sales, Sales Target, Sales/Retail"
Senior Resale Agent - Brokerage,Confidential, New Cairo,Full Time,Experienced,3-10 Yrs of Exp,Cairo,"Males Preferred, Primary, Sales Skills, Brokerage Real Estate, Resale, Sales/Retail"
Senior Property Consultant - Real Estate,Confidential, New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Males Preferred, Primary, Real Estate Sales, Sales Skills, Brokerage Real Estate, Sales Target, English, Sales/Retail"
Property Consultant - Brokerage,Location Real Estate, Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Property Sales, Brokerage Real Estate, Sales Target, English, Sales/Retail"
Marketing Executive/ Sales Admin,Location Real Estate, Heliopolis,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Real Estate, SEO, Creative, Content writing, Adobe Photoshop, Property, Writing/Editorial, Marketing/PR/Advertising"
Arabic Teacher,Mishkat Nour, Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,"Teacher, Education, Education/Teaching"
Video Editor & Animator - New Cairo,Confidential, New Cairo,Full Time,Work From Home,5-7 Yrs of Exp,Cairo,"Video Editing, Motion Graphics, Adobe Premiere, Animation, After Effects, Adobe Photoshop, Creative, Creative/Design/Art"
Delivery & Administrative Coordinator,SMART Furniture, Sheraton,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Administrative, Administration, Delivery, Logistics, Retail, MS Office, Administration, Logistics/Supply Chain"
HR Specialist ( Personnel ),Mersal, Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Human Resources (HR), Personnel, Microsoft Office, HR, English, HR Diploma, Labor Laws, Employment, Interviewing, Selecting"
Python Back End Developer,Div Systems, Mokattam,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Information Technology (IT), Software Development, Computer Science, Software Engineering, javaScript, HTML5, Front-End, SQL"
IT System Administrator,Elabd Foods, Sharabeya,Full Time,Experienced,4-6 Yrs of Exp,Cairo,"Computer Science, MCSE, MCSA, Information Technology (IT), System Administration, Computer Engineering, Telecom, Maintenance, Repair"
Sales Advisor (Telesales)-Fluent English only,3D Diagnostix, Maadi,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Customer Service, English, Telesales, Customer Care, Customer Service/Support, Sales/Retail"
Security/Penetration Tester,Caelum Middle East, Dokki,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Application Security, Application Architecture, Communication Protocols, IT/Software Development, Quality"
Senior Internal Auditor,Confidential, New Cairo,Full Time,Experienced,8+ Yrs of Exp,Cairo,"Computer Skills, Finance, Accounting, Internal Auditing, Financial Management, Financial Analysis, Microsoft Word, Accounting/Finance"
Social Media Coordinator,Pink'n Green, Hadayek Alahram,Full Time,Entry Level,0-3 Yrs of Exp,Giza,"E-marketing, SEO, Digital Marketing, Sales Skills, Sales Target, Microsoft Office, Marketing/PR/Advertising"
Sales Assistant (Seasonal),Shamy Stores, Alexandria,Full Time,Freelance / Project,0-1 Yrs of Exp,Egypt,"Sales Skills, Indoor Sales, Sales Target, Outdoor Sales, Microsoft Office, Video Games, Customer Service, Retail, Sales/Retail"
Personnel Specialist,Confidential, Sheikh Zayed,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Males Only, Personnel, Human Resources (HR), HRIS, Microsoft Office, Recruitment, HR, Training, MS Office, Employment, Labor Law"
Operations Manager - Cairo,Mishkat Nour, Nasr City,Full Time,Manager,4-7 Yrs of Exp,Cairo,"Communication Skills, Operations Management, Leadership, Operations/Management"
Export Sales Account Manager – Gulf Area,Kandil Industries, Cairo,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"Sales Skills, Customer Service, Sales Target, English, Food And Beverage, Account Management, Export Sales, Logistics/Supply Chain"
Sales Engineer - Chemical Cleaners Div.,Inter-Tech, Heliopolis,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Cleaners and Chemicals, Sales, Engineering, R&D/Science, Sales/Retail, Engineering - Other"
English Teacher (National - International),Mishkat Nour, Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,"Education, Teaching, International School, English, Education/Teaching"
Senior Sales Engineer - Oil & Gas Sector,Inter-Tech, Cairo,Full Time,Experienced,3-6 Yrs of Exp,Egypt,"Sales Skills, Sales Target, Customer Service, Customer Support, Customer Care, Mechanical Engineering, Chemical, Material, Oil &Gas"
Map Production Specialist,Confidential, Cairo,Freelance / Project,Shift Based,null Yrs of Exp,Egypt,"30 Vacancies, Map Production, Engineering, Maps, Geographic Information System, GIS, Quality, Engineering - Other"
Office Manager & Personal Assistant,o2proformance, Giza,Full Time,Experienced,4+ Yrs of Exp,Egypt,"Office Management, Microsoft Office, Secretary, English, Administration"
Technical Office Engineer,Pretty House, Ain Shams,Full Time,Experienced,5-8 Yrs of Exp,Cairo,"Engineering, AutoCAD, Microsoft Office, Engineering - Construction/Civil/Architecture, Installation/Maintenance/Repair"
Payable Accounting Supervisor,Nile Air, Sheraton,Full Time,Manager,7-10 Yrs of Exp,Cairo,"Payable Supervisor, Accountant, Commerce, MS Office, English, SAP, Financial Analysis, Accounts Payable, Accounting, Accounting/Finance"
Digital Marketing Manager,Happy life travel and tourism, Giza,Full Time,Manager,2-5 Yrs of Exp,Giza,"Google Analytics, Digital Marketing, Social Media, SEO, Online Marketing, SEM, Project Management, Operations/Management"
Accountant,Pretty House, 10th of Ramadan City,Part Time,Experienced,3-5 Yrs of Exp,Cairo,"Financial Analysis, Finance, Financial Management, Accounting/Finance"
Customer Service Executive,Aramex International, Dokki,Full Time,Entry Level,0-2 Yrs of Exp,Giza,"Customer Service, Customer Support, Customer Care, Logistics, Communication, Supply Chain, English, Customer Service/Support"
Data Entry Specialist,Yodawy, Mohandessin,Full Time,Entry Level,1+ Yrs of Exp,Giza,"Startup, Data Entry, Data Management, Administration, Retail, Pharmaceutical, Microsoft Office, Online Searching, Typing, English"
Researcher - Turkish Speaker,International Committee of Red Cross, Maadi,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Market Research, Analysis, Social Media, Writing/Editorial, Analyst/Research, Media/Journalism/Publishing"
Call Center Representative,Heroleads, Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Customer Service, Customer Care, Call Center, Marketing, Telesales, Customer Support, English, Customer Service/Support"
Customer Service Coordinator,Misr Elkheir Foundation, Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Customer Service, Customer Care, Customer Support, Customer Service/Support"
HR Personnel Assistant (Clerk),SE Wiring Systems EGYPT, 6th of October,Full Time,Entry Level,1+ Yrs of Exp,Giza,"Human Resources (HR), Computer Skills, Microsoft Office, Microsoft Excel, Microsoft Word, Communication Skills, Personnel, Recruitment"
Sales Representative,Cura Pharma Trading, Glim,Full Time,Experienced,2-5 Yrs of Exp,Alexandria,"Sales Target, Technical Sales, Food, Customer Service, MS Office, Pharmaceutical, Sales/Retail"
Sales Engineer,Trademan For Engineering & Trading Projects, Maadi,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Engineering, Marketing, Indoor Sales, Outdoor Sales, Sales Skills, Technical Sales, Sales Target, English, Sales/Retail"
General Accountant,Confidential, New Cairo,Full Time,Experienced,4-5 Yrs of Exp,Cairo,"Finance, Financial Analysis, Financial Management, English, MS Office, Accounting/Finance"
Senior Architect/BIM Coordinator,MAC EGYPT REAL ESTATE CO., 10th of Ramadan City,Full Time,Experienced,8-10 Yrs of Exp,Cairo,"Revit, 3dmax, V-ray, Adobe Photoshop, Adobe Illustrator, Adobe Indesign, Adobe Flash, Adobe Dreamweaver, Architecture, Engineering"
Senior Property Consultant,Infinity Business Solutions, New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Sales Skills, Real Estate, Sales Target, Brokerage, Communication Skills, Negotiation, Primary, Resale, Sales/Retail"
Creative Content Creator,Digitology, Mohandessin,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Editing, Content Writing, Content Creator, E-marketing, Market Research, Copywriter, Online Marketing, Digital Media, English"
Accounts Receivable Accountant,Egypro FME, Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Finance, Financial Analysis, Commerce, ERP, Accounts Receivable, Financial Reports, Unpaid Invoices, VAT, Cash, Payment Plans"
Oracle Financial & Procurement Consultant,Ghassan Ahmed Alsulaiman for Electronic Services, Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Computer Science, Finance, Procurement, Oracle Financial, Accounting, OTBI, O2C, Oracle Cloud Financials"
Financial Analyst,Confidential, Sheikh Zayed,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Financial Analysis, Finance, Accounting, Commerce, Financial Modeling, English, Accounting/Finance"
QC Engineer,Pharous LLC, Alexandria,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"QA, Information Technology (IT), Computer Science, Quality Control, QC, Quality Assurance, Testing, Java, Web Applications"
Site Manager - Mechanical,Inter-Tech, 6th of October,Full Time,Experienced,5-8 Yrs of Exp,Giza,"Maintenance, Safety, Installation, Material, Metallurgical, Installation/Maintenance/Repair"
Senior Graphic Designer,UPTURN, New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Adobe Photoshop, Marketing, Real Estate, Graphic Design, Creative/Design/Art"
Administrative Officer,Ataa charity association, Damanhour,Full Time,Experienced,2+ Yrs of Exp,Beheira,"Microsoft Office, Office Management, Communication, Typing, Receptionist, Administration"
Senior Payables & Receivables Accountant,Confidential, New Cairo,Full Time,Experienced,7-8 Yrs of Exp,Cairo,"Finance, Accounting, Financial Analysis, English, Communication Skills, AP, AR, Accounts Receivable, MS Office"
Senior Node.js Developer,EasyKash, Giza,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Express, Nodejs, Docker, Mean Stack, Ionic 2+, Angular 2+, Typescript, Information Technology (IT), Computer Science, Google Cloud"
Cashier,Al-Ahly Computer Equipment, Nasr City,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Finance, Treasury, Compact System, MS Office, Computer Skills, Microsoft Office, Accounting/Finance"
"Software Engineer (Full-Stack, VUEJS, LAMP, GIT,...",Triptab, Haram,Full Time,Experienced,3+ Yrs of Exp,Giza,"PHP, JS, Laravel, Software Development, vuejs, javaScript, MySQL, HTML5, CSS3, APIs, Front-End, MVC, Git, Computer Science"
Sales Representative,Ecabiotec Egypt, Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Sales Skills, Customer Service, MS Office, Communication, Sales Target, Business, Negotiation Skills, English, Selling"
Medical Call Center Approval Pharmacist,Confidential, New Cairo,Full Time,Shift Based,2-4 Yrs of Exp,Cairo,"5 Vacancies, Males Only, Call Center, Customer Service, Customer Care, Customer Support, Pharmacy, Medical Centers, Hospitals"
Cost Control Engineer,Confidential, Madinaty,Full Time,Experienced,5-8 Yrs of Exp,Cairo,"Engineering, Accounting, Finance, Financial Management, Financial Analysis, Construction, Control Scope, PMO, Engineering - Other"
Recruitment Specialist,Tamweely, Shubra,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Recruitment, Human Resources (HR), Interviewing, Recruiting, Microsoft Office, Human Resources"
Personnel Specialist,Tamweely, Cairo,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Personnel, English, Microsoft Office, Human Resources"
Senior Fixed Assets Accountant,Elabd Foods, Mohandessin,Full Time,Experienced,3-7 Yrs of Exp,Giza,"Accounting, Financial Analysis, Fixed Assets, Finance, Commerce, Journal Entries, Accounting/Finance"
Full Stack Developer (Internship),Seuqel Solutions, Downtown,Internship,Student,0-1 Yrs of Exp,Cairo,"PHP, JSON, React, NodeJS, XML, jQuery, Django, Laravel, Software Development, Computer Science, Computer Engineering, Full Stack"
Sales Operations Executive,Alkarma Developments, 6th of October,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Operations, Sales Skills, English, Administration, Property, Operations/Management, Sales/Retail"
Senior Web Developer,Artapart, Maadi,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Software Development, Information Technology (IT), Computer Science, javaScript, Larvel, Angular, Web Development, PHP Laravel"
Brand Manager,Nola Bakery, New Cairo,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Advertising, Brand Management, FMCG, Market Research, Branding, English, Food, Marketing/PR/Advertising, Media/Journalism/Publishing"
Remote React Developer,Scopic, Cairo,Full Time,Work From Home,3-6 Yrs of Exp,Egypt,"React, Computer Science, Information Technology (IT), javaScript, Software Development, Web, MySQL, HTML5, MongoDB"
Sales Director (Steel Or Construction),Confidential, Dokki,Full Time,Senior Management,15+ Yrs of Exp,Giza,"Sales Skills, Sales Target, Engineering, Steel, Business Development, Building Material, Construction, English"
Outdoor Sales Representative -Tanta,EL-RAYA, Tanta,Full Time,Entry Level,1-3 Yrs of Exp,Gharbia,"Outdoor Sales, Sales Skills, Sales Target, Sales/Retail"
Remote PHP/React.js/Node.js Developer,Scopic, Cairo,Full Time,Experienced,3-6 Yrs of Exp,Egypt,"Software Development, javaScript, PHP, Node.js, Laravel, Computer Science, React.js, IT/Software Development"
Operations Specialist,INTERLOG, Damietta,Full Time,Experienced,2-3 Yrs of Exp,Damietta,"Marketing, Customer Service, Logistics, Operations, English, Business, Shipping, Logistics/Supply Chain, Operations/Management"
Graphic Designer,Softex, New Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Adobe Photoshop, Adobe Illustrator, Social Media, Fine Arts, Applied Arts, Digital Marketing, Creative/Design/Art"
Marketing Director,dejavu, New Cairo,Full Time,Senior Management,10+ Yrs of Exp,Cairo,"Market Research, Trade Marketing, Advertising, Digital Marketing, Product Marketing, Operations/Management"
Operation Coordinator,EL KHETA, Alexandria,Full Time,Entry Level,0-1 Yrs of Exp,Egypt,"Administration, Operations, Microsoft Office, Administration, Operations/Management"
Branch Manager(Minya),B.Tech, Mallawi,Full Time,Manager,8-10 Yrs of Exp,Minya,"Sales Target, Branch Management, Administration, Communication Skills, Branch Manager, Sales/Retail"
Security Manager ( Police ),Confidential, Alexandria,Full Time,Manager,10-15 Yrs of Exp,Egypt,"Management, Police Academy, Security Protocols, Legal, Legal, Operations/Management"
Remote Intermediate + PHP Developer,Scopic, Cairo,Full Time,Work From Home,3-6 Yrs of Exp,Egypt,"PHP, Laravel, MySQL, Information Technology (IT), AWS, Software Development, javaScript, IT/Software Development"
Accountant,INTERLOG, New Damietta,Full Time,Entry Level,1-2 Yrs of Exp,Damietta,"Communication, Computer Skills, Financial Analysis, Finance, Financial Management, Analytical, Accounting/Finance"
French Acquisition Specialist,citpeak, Nasr City,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Presales, Communication Skills, Negotiation Skills, Software Products, Computer Skills, French, English, Sales Target, B2B"
Quality Control Mechanical Engineer,Confidential, Madinaty,Full Time,Experienced,5-9 Yrs of Exp,Cairo,"Engineering, Planning, Construction, Quality Control, QC, Mechanical, Quality Assurance, Quality, Engineering - Mechanical/Electrical"
Quality Control Electrical Engineer,Confidential, Madinaty,Full Time,Experienced,5-9 Yrs of Exp,Cairo,"Engineering, Planning, Construction, Quality Control, QC, Quality Assurance, Electrical, QA, Quality"
Executive Secretary,El Khalifa group, Hadayek Alahram,Full Time,Experienced,2+ Yrs of Exp,Giza,"Executive Secretary, Microsoft Office, Business Administration, Front Desk, Administration"
Medical Area Sales Manager,dkt Egypt, Tanta,Full Time,Manager,1-5 Yrs of Exp,Gharbia,"Coaching, People Management, Performance, Retail, Marketing, Area Sales, Sales Management, Sales Skills, Sales Target, Sales/Retail"
Corporate Lawyer,Rotografia, Sheikh Zayed,Full Time,Experienced,2+ Yrs of Exp,Giza,"Packaging, Legal, Corporate Law, Legal"
Executive Secretary,Confidential, Mohandessin,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Administration, Microsoft Office, Office Management, English, Arabic, Computer Skills, Reception, Administration"
Operations Coordinator,Berlitz Egypt, Abbassia,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Administration, Microsoft Office, Reception, Office Management, Customer Service, Customer Care, Administration, Customer Service/Support"
Project-Based English Instructor,Berlitz Egypt, Cairo,Part Time,Freelance / Project,0-2 Yrs of Exp,Egypt,"5 Vacancies, Education, Teaching, Instructor, English, Education/Teaching, Training/Instructor"
